id,label
86426,OFF
90194,OFF
16820,NOT
62688,OFF
43605,NOT
97670,OFF
77444,OFF
52415,OFF
45157,NOT
13384,OFF
82776,NOT
42992,NOT
28414,OFF
54920,NOT
56392,NOT
86735,NOT
95686,NOT
71446,NOT
23958,NOT
28195,OFF
56117,OFF
67757,NOT
12681,OFF
82904,OFF
63236,NOT
77665,OFF
83484,NOT
74932,NOT
91252,NOT
25440,OFF
81613,NOT
82333,NOT
12609,OFF
13017,NOT
18129,NOT
70380,NOT
12108,OFF
14726,OFF
74358,NOT
82599,NOT
40212,NOT
78367,NOT
66596,NOT
70999,NOT
36026,NOT
29439,NOT
74477,NOT
49845,NOT
32305,NOT
77243,NOT
73205,NOT
47311,NOT
48553,NOT
75689,NOT
84102,OFF
10607,NOT
43913,NOT
98992,OFF
92056,NOT
33853,OFF
75215,OFF
96218,NOT
57013,OFF
20883,NOT
74831,OFF
53264,OFF
28204,NOT
42024,NOT
84664,OFF
54842,NOT
48995,OFF
47153,OFF
76826,NOT
27645,NOT
64429,OFF
20943,NOT
78064,NOT
14122,NOT
72353,NOT
39051,NOT
54546,NOT
50759,NOT
75992,NOT
45068,OFF
17259,NOT
95225,NOT
84667,OFF
14574,NOT
23784,NOT
93119,OFF
30115,NOT
69281,NOT
15322,NOT
75089,NOT
21379,OFF
43133,NOT
52102,NOT
59537,NOT
44209,NOT
96664,NOT
12559,NOT
61914,NOT
32317,NOT
94767,NOT
64835,NOT
41353,NOT
52252,OFF
91001,OFF
18495,NOT
76680,NOT
88013,NOT
66349,OFF
80561,OFF
16052,NOT
49996,NOT
77086,NOT
10972,NOT
69160,NOT
28380,NOT
40252,NOT
39907,OFF
16164,NOT
52824,NOT
77294,OFF
13420,NOT
16940,OFF
83816,NOT
99156,NOT
11255,NOT
28841,OFF
79060,NOT
71682,NOT
17577,NOT
27503,NOT
59998,OFF
81119,NOT
28812,OFF
84131,NOT
23179,NOT
28601,NOT
64776,OFF
95712,NOT
69972,OFF
37115,NOT
80696,NOT
68163,NOT
96789,OFF
68629,OFF
